ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300256.SZ,20190923,4.28,4.31,4.18,4.24,4.41,-0.17,-3.8549,533841.47,226499.875
300256.SZ,20190924,4.23,4.27,4.17,4.19,4.24,-0.05,-1.1792,302222.32,127489.703
300256.SZ,20190925,4.15,4.15,3.96,3.96,4.19,-0.23,-5.4893,350581.58,141935.164
300256.SZ,20190926,3.98,4.01,3.8,3.81,3.96,-0.15,-3.7879,283791.62,109891.764
300256.SZ,20190927,3.8,3.96,3.8,3.91,3.81,0.1,2.6247,206390.21,80222.098
300256.SZ,20190930,3.88,3.92,3.81,3.89,3.91,-0.02,-0.5115,144806.84,56051.476
300256.SZ,20191008,3.86,3.94,3.85,3.86,3.89,-0.03,-0.7712,100130.27,38981.84
300256.SZ,20191009,3.84,3.9,3.81,3.89,3.86,0.03,0.7772,93907.23,36250.901
300256.SZ,20191010,3.89,4.0,3.89,3.98,3.89,0.09,2.3136,167002.9,66059.121
300256.SZ,20191011,3.98,4.12,3.98,4.08,3.98,0.1,2.5126,273489.55,110891.939
300256.SZ,20191014,4.1,4.24,4.08,4.19,4.08,0.11,2.6961,346227.99,143799.821
